,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,TAM,Jameis Winston\WinsJa00,QB,21,2019,0,1,5,54,54,72,1563,2548,19737,121,88,248,1044,10,0,0,0,,,,Florida St.,College Stats
1,2,TEN,Marcus Mariota\MariMa01,QB,21,2019,0,0,4,44,44,63,1110,1765,13207,76,44,242,1399,11,2,62,1,,,,Oregon,College Stats
1,3,JAX,Dante Fowler\FowlDa00,OLB,21,2019,0,0,1,16,6,63,0,0,0,0,0,0,0,0,0,0,0,104,,27.5,Florida,College Stats
1,4,OAK,Amari Cooper\CoopAm00,WR,21,2019,0,4,5,39,24,77,0,0,0,0,0,8,27,0,357,5097,33,,,,Alabama,College Stats
1,5,WAS,Brandon Scherff\ScheBr00,T,23,2019,0,3,5,33,33,65,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats
1,6,NYJ,Leonard Williams\WillLe02,DE,21,2019,0,1,4,37,34,79,0,0,0,0,0,0,0,0,0,0,0,135,1,17.5,USC,College Stats
1,7,CHI,Kevin White\WhitKe00,WR,23,2018,0,0,0,2,2,14,0,0,0,0,0,1,9,0,25,285,0,,,,West Virginia,College Stats
1,8,ATL,Vic Beasley\BeasVi00,OLB,23,2019,1,1,5,32,32,78,0,0,0,0,0,0,0,0,0,0,0,119,1,37.5,Clemson,College Stats
1,9,NYG,Ereck Flowers\FlowEr00,T,21,2019,0,0,4,28,20,75,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL),College Stats
1,10,STL,Todd Gurley\GurlTo01,RB,21,2019,2,3,5,50,50,73,0,0,0,0,0,1265,5404,58,218,2090,12,,,,Georgia,College Stats
1,11,MIN,Trae Waynes\WaynTr00,CB,23,2019,0,0,3,18,18,74,0,0,0,0,0,0,0,0,0,0,0,215,7,1.0,Michigan St.,College Stats
1,12,CLE,Danny Shelton\ShelDa01,NT,22,2019,0,0,4,29,15,75,0,0,0,0,0,0,0,0,0,0,0,111,,4.5,Washington,College Stats
1,13,NOR,Andrus Peat\PeatAn00,T,21,2019,0,2,4,39,39,65,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
1,14,MIA,DeVante Parker\ParkDe01,WR,22,2019,0,0,3,23,23,70,0,0,0,0,0,0,0,0,235,3419,18,,,,Louisville,College Stats
1,15,SDG,Melvin Gordon\GordMe00,RB,22,2019,0,2,5,39,39,67,0,0,0,0,0,1059,4240,36,224,1873,11,,,,Wisconsin,College Stats
1,16,HOU,Kevin Johnson\JohnKe04,CB,23,2019,0,0,0,10,9,51,0,0,0,0,0,0,0,0,0,0,0,131,1,1.0,Wake Forest,College Stats
1,17,SFO,Arik Armstead\ArmsAr01,DT,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,0,0,0,96,,19.0,Oregon,College Stats
1,18,KAN,Marcus Peters\PeteMa00,CB,22,2019,2,3,5,52,26,77,0,0,0,0,0,0,0,0,0,0,0,203,27,,Washington,College Stats
1,19,CLE,Cameron Erving\ErviCa00,C,23,2019,0,0,3,20,6,69,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
1,20,PHI,Nelson Agholor\AghoNe00,WR,22,2019,0,0,5,21,21,71,1,1,15,0,0,11,60,0,224,2515,18,,,,USC,College Stats
1,21,CIN,Cedric Ogbuehi\OgbuCe00,T,23,2019,0,0,2,14,13,49,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
1,22,PIT,Bud Dupree\DuprAl00,OLB,22,2019,0,0,3,27,27,70,0,0,0,0,0,0,0,0,0,0,0,146,1,31.5,Kentucky,College Stats
1,23,DEN,Shane Ray\RayxSh00,DE,22,2018,0,0,1,12,12,49,0,0,0,0,0,0,0,0,0,0,0,64,,14.0,Missouri,College Stats
1,24,ARI,D.J. Humphries\HumpD.00,T,21,2019,0,0,3,20,20,43,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats
1,25,CAR,Shaq Thompson\ThomSh01,OLB,21,2019,0,0,5,25,25,70,0,0,0,0,0,0,0,0,0,0,0,238,1,9.5,Washington,College Stats
1,26,BAL,Breshad Perriman\PerrBr02,WR,21,2019,0,0,0,11,4,51,0,0,0,0,0,7,20,0,95,1561,11,,,,Central Florida,College Stats
1,27,DAL,Byron Jones\JoneBy00,CB,22,2019,0,1,4,30,30,79,0,0,0,0,0,0,0,0,0,0,0,270,2,,Connecticut,College Stats
1,28,DET,Laken Tomlinson\TomlLa01,G,23,2019,0,0,5,32,10,79,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,College Stats
1,29,IND,Phillip Dorsett\DorsPh00,WR,22,2019,0,0,0,14,7,71,0,0,0,0,0,13,84,0,124,1634,11,,,,Miami (FL),College Stats
1,30,GNB,Damarious Randall\RandDa00,S,23,2019,0,0,3,21,12,65,0,0,0,0,0,0,0,0,0,0,0,243,14,2.5,Arizona St.,
1,31,NOR,Stephone Anthony\AnthSt00,ILB,23,2019,0,0,1,10,9,62,0,0,0,0,0,0,0,0,0,0,0,97,1,1.0,Clemson,College Stats
1,32,NWE,Malcom Brown\BrowMa01,DT,21,2019,0,0,5,33,27,76,0,0,0,0,0,0,0,0,0,0,0,121,,10.5,Texas,
2,33,NYG,Landon Collins\CollLa00,S,21,2019,1,3,5,33,29,74,0,0,0,0,0,0,0,0,0,0,0,407,8,5.0,Alabama,College Stats
2,34,TAM,Donovan Smith\SmitDo02,T,22,2019,0,0,5,39,39,79,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
2,35,OAK,Mario Edwards\EdwaMa01,DT,21,2019,0,0,2,13,11,59,0,0,0,0,0,0,0,0,0,0,0,71,,10.5,Florida St.,College Stats
2,36,JAX,T.J. Yeldon\YeldT.00,RB,21,2019,0,0,2,20,19,57,0,0,0,0,0,482,1935,6,184,1426,6,,,,Alabama,College Stats
2,37,NYJ,Devin Smith\SmitDe04,WR,23,2019,0,0,0,2,1,18,0,0,0,0,0,0,0,0,15,248,2,3,,,Ohio St.,College Stats
2,38,WAS,Preston Smith\SmitPr00,DE,22,2019,0,0,4,32,23,80,0,0,0,0,0,0,0,0,0,0,0,143,5,36.5,Mississippi St.,College Stats
2,39,CHI,Eddie Goldman\GoldEd00,DT,21,2019,0,0,4,30,30,67,0,0,0,0,0,0,0,0,0,0,0,102,,12.5,Florida St.,College Stats
2,40,TEN,Dorial Green-Beckham\GreeDo00,WR,22,2016,0,0,0,7,4,31,0,0,0,0,0,0,0,0,68,941,6,,,,Oklahoma,College Stats
2,41,CAR,Devin Funchess\FuncDe00,TE,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,164,2265,21,,,,Michigan,College Stats
2,42,ATL,Jalen Collins\CollJa02,CB,22,2016,0,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,45,2,,LSU,College Stats
2,43,HOU,Benardrick McKinney\McKiBe00,ILB,22,2019,0,1,5,40,40,76,0,0,0,0,0,0,0,0,0,0,0,295,1,11.5,Mississippi St.,College Stats
2,44,NOR,Hau'oli Kikaha\KikaHa00,OLB,23,2017,0,0,1,5,5,27,0,0,0,0,0,0,0,0,0,0,0,39,,8.0,Washington,College Stats
2,45,MIN,Eric Kendricks\KendEr00,ILB,23,2019,1,1,5,42,42,74,0,0,0,0,0,0,0,0,0,0,0,342,4,9.0,UCLA,College Stats
2,46,SFO,Jaquiski Tartt\TartJa00,S,23,2019,0,0,2,16,16,59,0,0,0,0,0,0,0,0,0,0,0,203,3,4.0,Samford,
2,47,PHI,Eric Rowe\RoweEr00,CB,22,2019,0,0,1,10,2,53,0,0,0,0,0,0,0,0,0,0,0,121,3,,Utah,College Stats
2,48,SDG,Denzel Perryman\PerrDe00,ILB,22,2019,0,0,4,21,21,56,0,0,0,0,0,0,0,0,0,0,0,225,3,4.0,Miami (FL),College Stats
2,49,KAN,Mitch Morse\MorsMi00,G,23,2019,0,0,4,28,23,65,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats
2,50,BUF,Ronald Darby\DarbRo00,CB,21,2019,0,0,4,20,10,57,0,0,0,0,0,0,0,0,0,0,0,224,8,,Florida St.,College Stats
2,51,CLE,Nate Orchard\OrchNa00,DE,22,2019,0,0,1,10,9,43,0,0,0,0,0,0,0,0,0,0,0,51,1,6.0,Utah,College Stats
2,52,MIA,Jordan Phillips\PhilJo01,NT,22,2019,0,0,3,21,12,76,0,0,0,0,0,0,0,0,0,0,0,77,1,15.0,Oklahoma,College Stats
2,53,CIN,Jake Fisher\FishJa00,T,22,2018,0,0,0,6,6,48,0,0,0,0,0,0,0,0,2,43,0,,,,Oregon,College Stats
2,54,DET,Ameer Abdullah\AbduAm00,RB,22,2019,0,0,2,12,11,58,0,0,0,0,0,350,1366,6,73,518,4,7,,,Nebraska,College Stats
2,55,BAL,Maxx Williams\WillMa04,TE,21,2019,0,0,1,6,4,58,0,0,0,0,0,5,14,0,78,699,4,7,,,Minnesota,College Stats
2,56,PIT,Senquez Golson\GolsSe00,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
2,57,STL,Rob Havenstein\HaveRo00,T,23,2019,0,0,5,32,32,68,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
2,58,ARI,Markus Golden\GoldMa00,DE,24,2019,0,0,2,21,13,62,0,0,0,0,0,0,0,0,0,0,0,134,,29.0,Missouri,College Stats
2,59,DEN,Ty Sambrailo\SambTy00,T,23,2019,0,0,0,8,3,57,0,0,0,0,0,0,0,0,1,35,1,,,,Colorado St.,College Stats
